,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,clyde river,98,US,1612048794,60,41.3042,-82.9752,30.0,1.01
149,touros,0,BR,1612048794,83,-5.1989,-35.4608,78.8,5.75
150,doha,0,QA,1612048675,63,25.2867,51.5333,66.2,11.5
151,divnogorsk,0,RU,1612048795,74,55.9594,92.3619,-38.2,1.54
152,banda aceh,0,IN,1612048795,50,25.4833,80.3333,48.45,3.44
153,san cristobal,0,ML,1612048795,19,13.3034,-4.8956,72.21,9.13
154,ixtapa,1,MX,1612048795,73,20.7,-105.2,75.2,12.66
155,bathsheba,20,BB,1612048796,73,13.2167,-59.5167,78.8,18.41
156,huntsville,1,US,1612048738,43,34.7304,-86.5861,53.6,12.66
157,novoselitskoye,90,RU,1612048796,93,44.7508,43.4369,37.4,13.42
158,nijar,99,ES,1612048796,76,36.9665,-2.206,57.99,3.44
159,ancud,0,CL,1612048796,55,-41.8697,-73.8203,64.0,6.91
160,rafai,13,CF,1612048796,29,4.95,23.9167,72.23,4.79
161,gazanjyk,98,TM,1612048796,65,39.2446,55.5154,47.88,7.23
162,lukovetskiy,90,RU,1612048797,93,64.2956,41.9211,23.0,6.71
163,victoria,0,HK,1612048636,64,22.2855,114.1577,62.01,15.28
164,tuatapere,93,NZ,1612048797,51,-46.1333,167.6833,63.09,1.72
165,bodden town,90,GB,1612048797,81,51.1954,-2.5161,39.2,16.11
166,brandon,1,US,1612048797,46,27.9378,-82.2859,71.6,3.94
167,vorobyevka,100,RU,1612048797,87,50.6451,40.9245,35.4,16.08
168,wanaka,21,NZ,1612048798,41,-44.7,169.15,65.07,5.23
169,mizque,49,BO,1612048798,61,-17.941,-65.3402,68.74,4.85
170,tautira,75,PF,1612048798,62,-17.7333,-149.15,86.0,12.66
171,umea,90,SE,1612048798,92,63.8284,20.2597,12.2,5.75
172,praia da vitoria,0,CV,1612048798,68,14.9215,-23.5087,71.6,17.27
173,araguaina,89,BR,1612048798,89,-7.1911,-48.2072,75.0,3.04
174,komsomolskiy,100,UZ,1612048799,44,40.4272,71.7189,37.4,6.91
175,laguna,75,US,1612048506,47,38.421,-121.4238,61.0,8.05
176,maniitsoq,0,GL,1612048799,80,65.4167,-52.9,12.7,9.69
177,santa rosa,91,PH,1612048799,71,17.486,120.4348,66.83,10.33
178,nichinan,20,JP,1612048799,81,31.6,131.3667,37.4,8.05
179,saskylakh,100,RU,1612048634,82,71.9167,114.0833,-34.65,10.27
180,abyek,0,IR,1612048799,60,36.0667,50.55,33.8,9.22
181,zeya,99,RU,1612048800,82,53.75,127.2667,-31.85,1.68
182,camocim,96,BR,1612048800,76,-2.9022,-40.8411,80.38,15.48
183,waddan,0,LY,1612048800,33,29.1614,16.139,59.81,5.77
184,ondangwa,100,NA,1612048800,75,-17.9167,15.95,73.42,6.53
185,broome,1,US,1612048800,73,42.2506,-75.833,16.0,8.05
186,auki,100,SB,1612048801,84,-8.7676,160.7034,81.72,12.66
187,faanui,74,PF,1612048801,72,-16.4833,-151.75,81.03,7.72
188,nan,72,TH,1612048801,94,18.8333,100.6667,68.0,0.49
189,ewa beach,100,ID,1612048801,86,-8.6235,122.5073,76.91,11.34
190,olafsvik,4,IS,1612048802,90,64.8945,-23.7142,22.96,17.52
191,plettenberg bay,85,DE,1612048802,81,51.2167,7.8833,30.99,1.99
192,dikson,0,RU,1612048802,80,73.5069,80.5464,-34.87,7.47
193,asfi,58,MA,1612048704,86,32.2994,-9.2372,59.32,8.14
194,misratah,0,LY,1612048802,57,32.3754,15.0925,64.15,11.23
195,dunedin,28,NZ,1612048802,73,-45.8742,170.5036,60.01,24.0
196,geraldton,0,AU,1612048803,28,-28.7667,114.6,86.0,12.66
197,longyearbyen,20,SJ,1612048803,59,78.2186,15.6401,-5.8,19.57
198,nome,1,US,1612048550,64,64.5011,-165.4064,-7.6,5.75
199,burnie,83,AU,1612048804,58,-41.0667,145.9167,64.0,5.99
200,severo-kurilsk,96,RU,1612048804,95,50.6789,156.125,24.8,29.04
201,flinders,87,AU,1612048804,89,-34.5833,150.8552,71.01,7.0
202,zarcero,20,CR,1612048805,57,10.1856,-84.3908,75.2,31.32
203,namibe,67,AO,1612048805,77,-15.1961,12.1522,73.2,8.52
204,port augusta,78,CD,1612048805,66,-7.0349,29.7638,72.18,5.57
205,terney,0,RU,1612048805,82,45.0503,136.6092,-4.07,16.13
206,antofagasta,40,CL,1612048806,68,-23.65,-70.4,69.8,14.97
207,shakhtinsk,0,KZ,1612048806,73,49.71,72.5872,12.2,13.42
208,alihe,99,CN,1612048806,85,50.5667,123.7167,-19.66,0.54
209,russell,40,US,1612048806,47,32.3502,-85.1999,57.2,6.91
210,kotido,12,UG,1612048807,43,2.9806,34.1331,72.9,9.73
211,shubarkuduk,19,KZ,1612048596,94,49.1447,56.4872,16.29,8.72
212,ornskoldsvik,90,SE,1612048807,92,63.2909,18.7153,14.0,9.22
213,ahipara,0,NZ,1612048807,48,-35.1667,173.1667,70.48,5.64
214,najran,0,SA,1612048808,27,17.4924,44.1277,60.8,2.42
215,prince rupert,75,CA,1612048721,78,52.9669,-108.3847,6.8,2.3
216,hobart,20,AU,1612048753,45,-42.8794,147.3294,68.0,9.22
